共通,,
都道府県,式場名,
東京,東武ホテルレバント東京,
東京,TRUNK HOTEL（トランクホテル）,
東京,乃木神社/乃木會館,
東京,八王子ホテルニューグランド(グランドビクトリア八王子),
東京,八芳園,
東京,葉山庵Tokyo,
東京,八芳園 料亭 壺中庵,
東京,バトゥール トーキョー（BATUR TOKYO）,
東京,パーク ハイアット 東京,
東京,パトリック・キソ・ガーデン,
東京,パラッツォ ドゥカーレ 麻布（Palazzo Ducale AZABU）,
東京,Palace Hotel Tachikawa（パレスホテルタチカワ）,
東京,パレスホテル東京（PALACE HOTEL TOKYO）,
東京,日枝あかさか,
東京,響 品川（ひびきしながわ）,
東京,響 風庭 赤坂（ひびきふうていあかさか）,
東京,響 丸の内（ひびきまるのうち）,
東京,日比谷パレス,
東京,ヒルサイドクラブ迎賓館(八王子),
東京,ヒルトン東京,
東京,ヒルトン東京お台場,
東京,Fish Bank TOKYO（フィッシュバンクトーキョー）,
東京,フェリーチェガーデン 日比谷,
東京,フォレスト・イン昭和館,
東京,フォレストテラス明治神宮,
東京,仏蘭西舎すいぎょく（ふらんすやすいぎょく）,
東京,ブルーム （旧名：ブルームホール）,
東京,ホテル グランドアーク半蔵門,
東京,ホテルイースト21東京 オークラホテルズ&リゾーツ,
東京,ホテル インターコンチネンタル 東京ベイ,
東京,ホテルエミシア東京立川 （旧名：立川グランドホテル）,
東京,ホテル雅叙園東京,
東京,ホテルグランドヒル市ヶ谷,
東京,ホテル椿山荘東京,
東京,ホテル日航立川 東京,
東京,ホテルニューオータニ,
東京,ウェディングスホテル・ベルクラシック東京,
東京,ホテルメトロポリタン,
東京,ホテルメトロポリタンエドモント,
東京,ホテル メルパルク東京,
東京,ホテルモントレ赤坂,
東京,ホテルモントレ銀座,
東京,MARRYGRANT AKASAKA （旧名：赤坂シュビア）（マリーグラン アカサカ）,
東京,マンダリン オリエンタル 東京（マンダリン オリエンタル トウキョウ）,
東京,南青山サンタキアラ教会,
東京,南青山ル・アンジェ教会,
東京,明治神宮 明治記念館,
東京,Maison Premiere（メゾン プルミエール）,
東京,メゾン ポール・ボキューズ,
東京,山の上ホテル,
東京,湯島天満宮(湯島天神),
東京,代々木八幡宮,
東京,代々木VILLAGE,
東京,LA VIE CLAIR（ラ ヴィ クレール）,
東京,LAGUNAVEIL ATELIER（ラグナヴェール アトリエ）,
東京,ラグナヴェール TOKYO（LAGUNAVEIL TOKYO）,
東京,Le chic unjour（ラシック アンジュール）,
東京,ラ・ブラスリー(アンスティチュ・フランセ東京),
東京,ラリアンス,
東京,ラ・ロシェル山王（La Rochelle SANNO）,
東京,リーガロイヤルホテル東京,
東京,リストランテASO,
東京,リビエラ東京,
東京,LUCIS（ルーキス）,
東京,ルーデンス立川ウエディングガーデン,
東京,ルクリアモーレ池袋駅前,
東京,ルクリアモーレ表参道,
東京,ルクリアモーレ東京駅前,
東京,ルシェルブラン表参道,
東京,ルミアモーレ,
東京,ルミヴェール TOKYO（LUMIVEIL TOKYO）,
東京,レストラン マダム・トキ,
東京,レストランパッション,
東京,レストランひらまつ レゼルヴ,
東京,RESTAURANT LUKE with SKY LOUNGE（レストラン ルーク ウィズ スカイラウンジ）,
東京,ロアラブッシュ,
東京,Royal Garden Palace 八王子日本閣,
東京,ロイヤルパークホテル,
東京,LOS ANGELES BALCONY（ロサンジェルス バルコニー）,
東京,ロザンジュイア 広尾迎賓館,
神奈川,アイルマリー横浜,
神奈川,アニヴェルセル みなとみらい横浜,
神奈川,横浜アートグレイス・ポートサイドヴィラ,
神奈川,アニヴェルセル ヒルズ 横浜,
神奈川,アルカンシエル横浜 リュクスマリアージュ,
神奈川,AMANDAN BLUE 鎌倉（アマンダンブルー鎌倉）,
神奈川,アクアテラス迎賓館(新横浜),
神奈川,AMANDAN HILLS（アマンダンヒルズ）,
神奈川,アルテリーベ横浜本店,
神奈川,伊勢山ヒルズ,
神奈川,カサ・デ・アンジェラ（Casa d' Angela）,
神奈川,隠れ里 車屋（かくれさと くるまや）,
神奈川,鎌倉プリンスホテル,
神奈川,コルティーレ茅ヶ崎,
神奈川,KOTOWA 鎌倉 鶴ヶ岡会館,
神奈川,コットンハーバークラブ(横浜),
神奈川,三渓園 鶴翔閣(横浜市指定有形文化財),
神奈川,ザ コンチネンタル横浜,
神奈川,ザ クラブ オブ エクセレント コースト(The Club of EXCELLENT COAST),
神奈川,THE GRAND ORIENTAL MINATOMIRAI（グランドオリエンタル みなとみらい）,
神奈川,THE CLASSICA BAY RESORT (ザ クラシカ ベイリゾート),
神奈川,ザ・ウィングス海老名,
神奈川,ザ・シーズンズ（THE SEASON'S）,
神奈川,新横浜グレイスホテル/ロゼアン シャルム（シンヨコハマグレイスホテル ロゼアンシャルム）,
神奈川,湘南セント・ラファエロチャペル,
神奈川,新横浜国際ホテル  ウェディング  マナーハウス,
神奈川,指帆亭 Shihantei Pine Tree Resort,
神奈川,ゲストハウス フェインfaein,
神奈川,SCAPES THE SUITE（スケープス ザ スイート）,
神奈川,セントパトリック・チャーチ/ロイヤルホールヨコハマ,
神奈川,セントアクアチャペルみなとみらい,
神奈川,Socia21（ソシア21）,
神奈川,茅ヶ崎迎賓館,
神奈川,鎌倉 鶴岡八幡宮,
神奈川,ノートルダム横浜みなとみらい,
神奈川,ハートコート横浜,
神奈川,葉山ホテル音羽ノ森 別邸,
神奈川,ヒルトン小田原リゾート&スパ,
神奈川,ヒルサイドガーデン,
神奈川,富士屋ホテル,
神奈川,ブリーズベイホテル,
神奈川,ブラッスリー・ティーズ・ミュゼ,
神奈川,BAYSIDE GEIHINKAN VERANDA minatomirai（ベイサイドゲイヒンカンヴェランダミナトミライ）,
神奈川,ホテルニューグランド,
神奈川,ホテルモントレ横浜,
神奈川,ホテルメルパルクYOKOHAMA,
神奈川,グランドビクトリア湘南/ホテルサンライフガーデン,
